species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriallity,foraging_environment,daily_activity
Dicrostonyx_groenlandicus,Mammalia,Rodentia,3.3,66,nonvolant,semifossorial,terrestrial,cathemeral
Didelphis_aurita,Mammalia,Didelphimorphia,4,850,nonvolant,nonfossorial,semiarboreal,nocturnal
Didelphis_marsupialis,Mammalia,Didelphimorphia,4.2,1530,nonvolant,nonfossorial,semiarboreal,nocturnal
Didelphis_virginiana,Mammalia,Didelphimorphia,6.6,3000,nonvolant,nonfossorial,semiarboreal,nocturnal
Dinomys_branickii,Mammalia,Rodentia,12.8,12250,nonvolant,semifossorial,terrestrial,nocturnal
Diphylla_ecaudata,Mammalia,Chiroptera,8,28,volant,nonfossorial,terrestrial,nocturnal
Dipodillus_campestris,Mammalia,Rodentia,7.3,28.4,nonvolant,semifossorial,terrestrial,nocturnal
Dipodomys_deserti,Mammalia,Rodentia,8.6,116,nonvolant,semifossorial,terrestrial,nocturnal
Dipodomys_heermanni,Mammalia,Rodentia,8.3,65,nonvolant,semifossorial,terrestrial,nocturnal
Dipodomys_merriami,Mammalia,Rodentia,9.7,42,nonvolant,semifossorial,terrestrial,nocturnal
Dipodomys_ordii,Mammalia,Rodentia,9.9,57,nonvolant,semifossorial,terrestrial,nocturnal
Dasyurus_viverrinus,Mammalia,Dasyuromorphia,6.8,1090,nonvolant,nonfossorial,terrestrial,nocturnal
Daubentonia_madagascariensis,Mammalia,Primates,23.3,2277.5,nonvolant,nonfossorial,arboreal,nocturnal
Dendrohyrax_arboreus,Mammalia,Hyracoidea,13.6,3000,nonvolant,nonfossorial,semiarboreal,nocturnal
Dendrolagus_goodfellowi,Mammalia,Diprotodontia,23.6,7400,nonvolant,nonfossorial,semiarboreal,cathemeral
Dendrolagus_matschiei,Mammalia,Diprotodontia,26.9,7200,nonvolant,nonfossorial,semiarboreal,cathemeral
Dendrolagus_ursinus,Mammalia,Diprotodontia,20,8000,nonvolant,nonfossorial,semiarboreal,cathemeral
Dendromus_melanotis,Mammalia,Rodentia,4.2,7.4,nonvolant,semifossorial,semiarboreal,nocturnal
Dendromus_mesomelas,Mammalia,Rodentia,3.3,13,nonvolant,semifossorial,semiarboreal,nocturnal
Desmodillus_auricularis,Mammalia,Rodentia,6.1,54.5,nonvolant,semifossorial,terrestrial,nocturnal
Desmodus_rotundus,Mammalia,Chiroptera,29.2,33.2,volant,nonfossorial,terrestrial,nocturnal
Diceros_bicornis,Mammalia,Perissodactyla,49,1100000,nonvolant,nonfossorial,terrestrial,crepuscular
Dobsonia_moluccensis,Mammalia,Chiroptera,12.3,430,volant,nonfossorial,volant,nocturnal
Dolichotis_patagonum,Mammalia,Rodentia,14.4,12500,nonvolant,semifossorial,terrestrial,diurnal
Dorcopsis_luctuosa,Mammalia,Diprotodontia,13.9,3570,nonvolant,nonfossorial,terrestrial,crepuscular
Dorcopsis_muelleri,Mammalia,Diprotodontia,12.4,5000,nonvolant,nonfossorial,terrestrial,crepuscular
Dorcopsulus_macleayi,Mammalia,Diprotodontia,7.9,2988,nonvolant,nonfossorial,terrestrial,nocturnal
Dryomys_nitedula,Mammalia,Rodentia,4.1,26,nonvolant,nonfossorial,arboreal,nocturnal
Echinops_telfairi,Mammalia,Afrosoricida,19,180,nonvolant,nonfossorial,semiarboreal,nocturnal
Echymipera_rufescens,Mammalia,Peramelemorphia,3.1,1250,nonvolant,nonfossorial,terrestrial,nocturnal
Eidolon_helvum,Mammalia,Chiroptera,21.8,306.25,volant,nonfossorial,volant,nocturnal
Elaphodus_cephalophus,Mammalia,Artiodactyla,22.7,33500,nonvolant,nonfossorial,terrestrial,crepuscular
Elephantulus_intufi,Mammalia,Macroscelidea,9.3,52,nonvolant,semifossorial,terrestrial,diurnal
Elephantulus_rozeti,Mammalia,Macroscelidea,7.2,48,nonvolant,semifossorial,terrestrial,diurnal
Elephantulus_rufescens,Mammalia,Macroscelidea,7.9,58,nonvolant,semifossorial,terrestrial,diurnal
Elephas_maximus,Mammalia,Proboscidea,65.5,3180000,nonvolant,nonfossorial,terrestrial,cathemeral
Eliomys_melanurus,Mammalia,Rodentia,6.2,122.5,nonvolant,nonfossorial,arboreal,nocturnal
Eliomys_quercinus,Mammalia,Rodentia,5.5,82.5,nonvolant,nonfossorial,arboreal,nocturnal
Enhydra_lutris,Mammalia,Carnivora,27,25850,nonvolant,nonfossorial,aquatic,diurnal
Epomophorus_gambianus,Mammalia,Chiroptera,7.8,80,volant,nonfossorial,volant,nocturnal
Eptesicus_fuscus,Mammalia,Chiroptera,19,23,volant,nonfossorial,volant,nocturnal
Eptesicus_nilssonii,Mammalia,Chiroptera,20,13,volant,nonfossorial,volant,nocturnal
Eptesicus_serotinus,Mammalia,Chiroptera,21,18.2,volant,nonfossorial,volant,nocturnal
Equus_asinus,Mammalia,Perissodactyla,47,164998,nonvolant,nonfossorial,terrestrial,diurnal
Equus_burchellii,Mammalia,Perissodactyla,38,280000,nonvolant,nonfossorial,terrestrial,diurnal
Equus_caballus,Mammalia,Perissodactyla,57,3.00E+05,nonvolant,nonfossorial,terrestrial,diurnal
Equus_grevyi,Mammalia,Perissodactyla,31,384000,nonvolant,nonfossorial,terrestrial,diurnal
Equus_hemionus,Mammalia,Perissodactyla,26.2,230000,nonvolant,nonfossorial,terrestrial,diurnal
Equus_kiang,Mammalia,Perissodactyla,30.1,275000,nonvolant,nonfossorial,terrestrial,diurnal
Equus_zebra,Mammalia,Perissodactyla,33.2,296000,nonvolant,nonfossorial,terrestrial,diurnal
Erethizon_dorsatum,Mammalia,Rodentia,23.4,8600,nonvolant,nonfossorial,semiarboreal,nocturnal
Erinaceus_europaeus,Mammalia,Erinaceomorpha,11.7,750,nonvolant,semifossorial,terrestrial,nocturnal
Erythrocebus_patas,Mammalia,Primates,28.3,7750,nonvolant,nonfossorial,terrestrial,diurnal
Eudorcas_thomsonii,Mammalia,Artiodactyla,20,25000,nonvolant,nonfossorial,terrestrial,diurnal
Eulemur_coronatus,Mammalia,Primates,27,2500,nonvolant,nonfossorial,semiarboreal,diurnal
Eulemur_fulvus,Mammalia,Primates,35.5,3150,nonvolant,nonfossorial,semiarboreal,diurnal
Eulemur_macaco,Mammalia,Primates,36.2,2500,nonvolant,nonfossorial,semiarboreal,diurnal
Eulemur_rubriventer,Mammalia,Primates,20,1765.3,nonvolant,nonfossorial,semiarboreal,diurnal
Euphractus_sexcinctus,Mammalia,Cingulata,22.1,4850,nonvolant,semifossorial,terrestrial,cathemeral
Felis_chaus,Mammalia,Carnivora,20,10000,nonvolant,nonfossorial,terrestrial,cathemeral
Felis_manul,Mammalia,Carnivora,15.9,3500,nonvolant,nonfossorial,terrestrial,cathemeral
